Word	FREQ
stephen's	61
terms	61
w.	61
wait	61
_(she	60
arrangement	60
bloom.	60
des	60
equally	60
formed	60
interest	60
lady	60
meant	60
mentioned	60
method	60
now,	60
rises	60
shadow.	60
shells	60
un	60
wouldn't	60
you?	60
7	59
b	59
ben	59
broken	59
can't	59
circle	59
cissy	59
d_	59
evening	59
further	59
law	59
longer	59
manner	59
movements	59
rose	59
slowly	59
complete	58
electronic	58
iron	58
possibly	58
seven	58
sky	58
smell	58
soon	58
teeth	58
thin	58
transparent	58
20	57
became	57
bloom's	57
current	57
darker	57
edges	57
her,	57
holy	57
passages	57
pay	57
pupil	57
san	57
surrounding	57
trying	57
_b	56
angles	56
animals,	56
bearing	56
c	56
evidently	56
increase	56
leaf	56
legs	56
minute	56
moon,	56
night.	56
paid	56
pyramid	56
result	56
shape	56
so,	56
spirit	56
us.	56
walk	56
begin	55
bones	55
help	55
highest	55
hole	55
importance	55
it;	55
late	55
moment	55
mount	55
occurs	55
outer	55
pair	55
reading	55
received	55
talking	55
thy	55
wants	55
9	54
away.	54
ball	54
books	54
bronze	54
greatly	54
im	54
male	54
nearly	54
oil	54
out,	54
race	54
represented	54
seemed	54
stones	54
system	54
touch	54
width	54
work.	54
.	53
_c_	53
_e	53
atom	53
character	53
difference	53
difficult	53
direct	53
ear	53
electric	53
female	53
flesh	53
hes	53
hour	53
leopold	53
milan	53
pen	53
perspective.	53
pounds	53
rain	53
saying	53
turns	53
way,	53
west	53
chief	52
date	52
eat	52
he.	52
inner	52
married	52
nos.	52
opening	52
origin	52
particles	52
proportions	52
reflection	52
shore	52
slow	52
solid	52
story	52
summer	52
universe	52
useful	52
what?	52
_(in	51
blind	51
contrary	51
degree	51
eight	51
else	51
fat	51
fishes	51
grow	51
intended	51
lire	51
literary	51
men,	51
millions	51
nearest	51
non	51
play	51
rising	51
special	51
strength	51
what's	51
_(the	50
12	50
british	50
down.	50
haines	50
impossible	50
individual	50
ink	50
know,	50
led	50
lighter	50
moon.	50
notice	50
pocket	50
printed	50
relative	50
remote	50
strange	50
too,	50
variety	50
waiting	50
who,	50
work,	50
_n	49
ago	49
background	49
brain	49
break	49
child	49
considerable	49
cross	49
depth	49
follows	49
friend	49
itself,	49
mammals	49
n_	49
primary	49
side,	49
silver	49
stephen,	49
sun's	49
that?	49
turning	49
warm	49
&c.	48
act	48
action	48
court	48
discovery	48
drew	48
especially	48
foundation	48
indeed	48
instance	48
lives	48
neither	48
ordinary	48
plain	48
please	48
proper	48
remained	48
silk	48
steps	48
birth	47
bob	47
boy	47
c_	47
changes	47
die	47
discovered	47
entirely	47
exactly	47
finger	47
g.	47
measure	47
million	47
mind.	47
mixed	47
music	47
not,	47
quickly	47
refer	47
rich	47
shadow,	47
sheet	47
still,	47
to.	47
twenty	47
united	47
wine	47
wonderful	47
words,	47
--what	46
_(with	46
behaviour	46
beneath	46
beside	46
bread	46
built	46
died	46
down,	46
drink	46
easy	46
extent	46
family	46
famous	46
french	46
greek	46
happens	46
loose	46
lot	46
medium	46
rapid	46
regarded	46
save	46
side.	46
sleep	46
surrounded	46
thrown	46
type	46
back,	45
breast	45
couldn't	45
degrees	45
filled	45
flower	45
head,	45
heads	45
know.	45
lake	45
ned	45
pictures	45
putting	45
rocks	45
separate	45
sound	45
tap.	45
throughout	45
trees,	45
usual	45
wait.	45
william	45
won't	45
(ms.	44
_m	44
another.	44
are,	44
blessed	44
broad	44
composed	44
constantly	44
death.	44
dust	44
e.	44
everything	44
existence	44
false	44
first,	44
flat	44
gerty	44
in,	44
including	44
instance,	44
les	44
matter,	44
neck	44
others,	44
passes	44
proof	44
reach	44
scientific	44
shaded	44
suggested	44
support	44
telling	44
thinking	44
tongue	44
us,	44
was.	44
alone	43
another,	43
branch	43
breath	43
chapter	43
company	43
conditions	43
cried	43
deal	43
describe	43
experience	43
fully	43
god,	43
hours	43
influence	43
mention	43
nine	43
occur	43
original,	43
photograph	43
practice	43
process	43
rule	43
say.	43
secret	43
spots	43
table	43
together,	43
ways	43
--o,	42
(in	42
1/2	42
2.	42
ages	42
amid	42
bank	42
calls	42
causes	42
chap	42
clearly	42
compared	42
corny	42
cover	42
d.	42
damn	42
dress	42
elements	42
francesco	42
head.	42
himself.	42
instead	42
ireland	42
largest	42
leaving	42
months	42
moves	42
off.	42
portions	42
sand	42
send	42
shoulder	42
sir,	42
slight	42
someone	42
spread	42
treat	42
worked	42
_n_	41
3.	41
afterwards	41
associated	41
bridge	41
building	41
chemical	41
circular	41
creature	41
development	41
diminution	41
distinct	41
duc.	41
fly	41
herself	41
houses	41
huge	41
id	41
language	41
lifted	41
lying	41
model	41
molly	41
mountains,	41
place,	41
place.	41
pound	41
purpose	41
refers	41
regards	41
reverend	41
showed	41
spoke	41
spoken	41
spring	41
thus,	41
wrong	41
--a	40
business	40
copper	40
described	40
ebook	40
element	40
en	40
explained	40
fear	40
for,	40
gets	40
hed	40
memory	40
nature,	40
preceding	40
quick	40
scene	40
she's	40
style	40
tail	40
tea	40
therefore,	40
universal	40
yourself	40
--you	39
_o	39
actually	39
adapted	39
boots	39
buildings	39
carrying	39
chin	39
contact	39
deasy	39
florence	39
imagine	39
lambert	39
maria	39
men.	39
messer	39
milan,	39
observations	39
otherwise	39
outlines	39
paddy	39
perfect	39
principal	39
receive	39
